time;user;label;NewHiresByMonthAndFPDesc.Month;NewHiresByMonthAndFPDesc.FPDesc;NewHiresByMonthAndFPDesc.NewHires;NewHiresAndNewHiresSamePeriodLastYear.NewHires;NewHiresAndNewHiresSamePeriodLastYear.Month;NewHiresAndNewHiresSamePeriodLastYear.NewHiresSPLY;NewHiresByRegionAndEthnicity.Region;NewHiresByRegionAndEthnicity.VP;NewHiresByRegionAndEthnicity.Ethnicity;NewHiresByRegionAndEthnicity.NewHires;Region.Region;Ethnicity.Ethnicity
1653320764771;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;Root;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0;0,0,0,0,0,0,0
1653320768575;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;Region (slicer) - Region: North selected;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.9583333333333334;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,1,0,1,0,1,0,1,0,1,0,1;0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.1787709497206704;1,0,0,0,0,0,0;0,0,0,0,0,0,0
1653320770924;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;Ethnicity (slicer) - Ethnicity: Group D selected;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;0,0,0,0;0.5;0.9166666666666666;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.9166666666666666;0,0,0,1,0,1,0,1,0,1,0,1,0,1;0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1,0,1,0,0,0,1,0,1,0,1;0.027932960893854747;1,0,0,0,0,0,0;0,0,0,1,0,0,0
1653320773454;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires by Region and Ethnicity (clusteredBarChart) - Region: North, Ethnicity: Group D selected;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1;0;0.9166666666666666;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.9166666666666666;1,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,1,0,0,0,0,0,0,0;1;1,0,0,0,0,0,0;0,0,0,1,0,0,0
1653320774314;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Jan selected;0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,0;0.041666666666666664;0.9166666666666666;1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.9166666666666666;0,0,0,1,0,1,0,1,0,1,0,1,0,1;0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1,0,1,0,0,0,1,0,1,0,1;0.027932960893854747;1,0,0,0,0,0,0;0,0,0,1,0,0,0
1653320774337;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Dec selected;0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,0;0.041666666666666664;0.9166666666666666;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0;0.9166666666666666;0,0,0,1,0,1,0,1,0,1,0,1,0,1;0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1,0,1,0,0,0,1,0,1,0,1;0.027932960893854747;1,0,0,0,0,0,0;0,0,0,1,0,0,0
1653320778308;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Jun selected;0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,0;0.041666666666666664;0.9166666666666666;0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0;0.9166666666666666;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;1,0,0,0,0,0,0;0,0,0,1,0,0,0
1653320779226;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;Region (slicer) - deselected;0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1;0,0,0,0;0.08333333333333333;1;0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,1,0,1,0,1,0,0,0,1,0,1,0,1;0.1564245810055866;1,0,0,0,0,0,0;0,0,0,1,0,0,0
1653320779428;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Sep selected;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.9583333333333334;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,1,0,1,0,1,0,0,0,1,0,1,0,1;0.1564245810055866;1,0,0,0,0,0,0;0,0,0,1,0,0,0
1653320781570;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires by Month and FPDesc (lineChart) - Month: Jun, FPDesc: Full-Time selected;0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0;1,0,0,0;0.9583333333333334;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;1,0,0,0,0,0,0;0,0,0,1,0,0,0
1653320783396;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires by Month and FPDesc (lineChart) - FPDesc: Part-Time selected;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,1,0;0.9583333333333334;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;1,0,0,0,0,0,0;0,0,0,1,0,0,0
1653320786516;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Oct selected;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;0,0,0,0;0.08333333333333333;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,1,0,1,0,1,0,0,0,1,0,1,0,1;0.1564245810055866;1,0,0,0,0,0,0;0,0,0,1,0,0,0
1653320787501;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires by Region and Ethnicity (clusteredBarChart) - Region: East, Ethnicity: Group D selected;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;0,0,0,0;0.9166666666666666;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,1,0,0,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,1,0,1,0,1,1,0,0,1,0,1,0,1;0.1564245810055866;1,0,0,0,0,0,0;0,0,0,1,0,0,0
1653320790029;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;Region (slicer) - Region: Northwest selected;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1;0;0.9166666666666666;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.9166666666666666;0,1,0,1,0,0,1,1,0,1,0,1,0,1;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1,0,1,1,0,0,1,0,1,0,1;0.027932960893854747;0,0,1,0,0,0,0;0,0,0,1,0,0,0
1653320791331;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires by Region and Ethnicity (clusteredBarChart) - Region: Northwest, Ethnicity: Group D selected;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;0,0,0,0;0.5416666666666666;0.9166666666666666;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.9166666666666666;0,1,0,1,1,0,0,1,0,1,0,1,0,1;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1,0,1,1,0,0,1,0,1,0,1;0.027932960893854747;0,0,1,0,0,0,0;0,0,0,1,0,0,0
1653320794808;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;Region (slicer) - deselected;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;0,0,0,0;0.5416666666666666;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,1,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,1,0,1,0,1,1,0,0,1,0,1,0,1;0.1564245810055866;0,0,1,0,0,0,0;0,0,0,1,0,0,0
1653320797854;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Nov selected;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1;0,0,0,0;0.08333333333333333;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,1,0,0,0,0;0,0,0,1,0,0,0
1653320799194;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;Ethnicity (slicer) - Ethnicity: Group F selected;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1;0,0,0,0;0.08333333333333333;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,1,0,0,0,0;0,0,0,0,0,1,0
1653320799289;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;Region (slicer) - Region: West selected;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1;0,1,0,0;0.041666666666666664;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0;1;0,1,0,1,0,1,0,1,0,1,0,1,0,0;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0.01675977653631285;0,0,0,0,0,0,1;0,0,0,0,0,1,0
1653320802610;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires by Region and Ethnicity (clusteredBarChart) - Region: West, Ethnicity: Group F selected;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;0,0,0,0;0.08333333333333333;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,1,0,0,0;1;0,0,0,0,0,0,1;0,0,0,0,0,1,0
1653320804671;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Oct selected;0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,0,0,0;0.08333333333333333;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,1;0,0,0,0,0,1,0
1653320804902;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: May selected;0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,0,0,0;0.08333333333333333;1;0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,1;0,0,0,0,0,1,0
1653320805091;7fe3fed2-a682-4ba2-b7a0-24aee8c6fda0;New Hires by Month and FPDesc (lineChart) - Month: May, FPDesc: Part-Time selected;0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,1,0;0.6666666666666666;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,1;0,0,0,0,0,1,0
