timestamp;user;age;gender;dashboardExperience;powerBIExperience;confidence;satisfaction;questionId;taskId;correctAnswer;mentalEffort;selectedAnswer;endtime;triggeredAction;selectedValues;filteredValues;NewHiresByMonth(Full-Time/Part-Time).Month<categorical>;NewHiresByMonth(Full-Time/Part-Time).FPDesc<categorical>;NewHiresByMonth(Full-Time/Part-Time).NewHires<numerical>;NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>;NewHiresAndNewHiresSamePeriodLastYear(SPLY).NewHires<numerical>;NewHiresAndNewHiresSamePeriodLastYear(SPLY).NewHiresSPLY<numerical>;NewHiresByEthnicity.Ethnicity<categorical>;NewHiresByEthnicity.NewHires<numerical>;NewHiresByRegion.Region<categorical>;NewHiresByRegion.NewHires<numerical>;Region.Region<categorical>;Ethnicity.Ethnicity<categorical>;Year.Year<categorical>
1658315583475;sample_solution;28;m;1;1;6;6;1;1;Jul;1;Jul;1658315609701;Root;Year.Year<categorical>;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1658315588983;sample_solution;28;m;1;1;6;6;1;1;Jul;1;Jul;1658315609701;Ethnicity (slicer) - Ethnicity: Group A selected;Ethnicity.Ethnicity<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;42,259,55,402,57,686,80,723,95,834,70,786,71,852,71,968,66,837,110,1171,71,831,41,393;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;301,457,743,803,929,856,923,1039,903,1281,902,434;185,205,352,336,407,425,331,684,724,762,796,301;0,0,0,1,0,1,0,1,0,1,0,1,0,1;9571;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1722,1523,2003,802,1577,1257,687;0,0,0,0,0,0,0;1,0,0,0,0,0,0;0,0,0,1,0,0,0
1658315592161;sample_solution;28;m;1;1;6;6;1;1;Jul;1;Jul;1658315609701;Region (slicer) - Region: Northwest selected;Region.Region<categorical>, Ethnicity.Ethnicity<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;11,56,17,118,16,169,17,148,18,149,19,161,17,130,20,183,16,163,43,257,23,169,11,72;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;67,135,185,165,167,180,147,203,179,300,192,83;27,30,56,61,64,85,51,109,109,184,220,59;0,0,0,1,0,1,0,1,0,1,0,1,0,1;2003;0,1,0,1,0,0,0,1,0,1,0,1,0,1;2003;0,0,1,0,0,0,0;1,0,0,0,0,0,0;0,0,0,1,0,0,0
1658315595697;sample_solution;28;m;1;1;6;6;1;1;Jul;1;Jul;1658315609701;Year (slicer) - Year: 2014 selected;Region.Region<categorical>, Ethnicity.Ethnicity<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;13,125,20,155,16,113,16,176,16,197,19,223,16,261,15,238,8,258,9,204,6,141,1,31;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;138,175,129,192,213,242,277,253,266,213,147,32;67,135,185,165,167,180,147,203,179,300,192,83;0,0,0,1,0,1,0,1,0,1,0,1,0,1;2277;0,1,0,1,0,0,0,1,0,1,0,1,0,1;2277;0,0,1,0,0,0,0;1,0,0,0,0,0,0;0,0,0,0,1,0,0
1658315612996;sample_solution;28;m;1;1;6;6;3;2;2013;1;2013;1658315639344;Root;Year.Year<categorical>;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1658315625602;sample_solution;28;m;1;1;6;6;3;2;2013;1;2013;1658315639344;Ethnicity (slicer) - Ethnicity: Group F selected;Ethnicity.Ethnicity<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,7,1,17,1,19,2,21,5,34,3,23,3,35,5,72,4,55,2,50,4,46,2,17;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;9,18,20,23,39,26,38,77,59,52,50,19;10,11,19,7,8,12,8,20,37,33,42,12;0,1,0,1,0,1,0,0,0,1,0,1,0,1;430;0,0,0,0,0,0,0,0,0,0,0,0,0,0;63,31,88,41,51,75,81;0,0,0,0,0,0,0;0,0,0,0,0,1,0;0,0,0,1,0,0,0
1658315642710;sample_solution;28;m;1;1;6;6;2;1;1021;1;1021;1658315669362;Root;Year.Year<categorical>;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1658315651882;sample_solution;28;m;1;1;6;6;2;1;1021;1;1021;1658315669362;Year (slicer) - Year: 2014 selected;Year.Year<categorical>;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;73,701,77,1037,87,1159,124,1351,139,1847,100,2086,92,1869,91,2098,84,2128,75,2028,50,1411,17,349;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;774,1114,1246,1475,1986,2186,1961,2189,2212,2103,1461,366;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0;12600,4342,853,781,365,108,24;0,0,0,0,0,0,0,0,0,0,0,0,0,0;3238,2806,3170,1403,3227,3392,1837;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,1,0,0
1658315656256;sample_solution;28;m;1;1;6;6;2;1;1021;1;1021;1658315669362;Region (slicer) - Region: East selected;Region.Region<categorical>, Year.Year<categorical>;NewHiresByRegion.Region<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;31,86,24,89,18,71,51,77,55,70,33,103,37,78,39,70,37,115,24,114,22,110,11,38;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;117,113,89,128,125,136,115,109,152,138,132,49;88,72,77,110,112,86,127,104,102,151,119,76;0,0,0,0,0,0,0,0,0,0,0,0,0,0;858,347,66,62,61,7,2;0,1,0,1,0,1,0,0,0,1,0,1,0,1;1403;0,0,0,1,0,0,0;0,0,0,0,0,0,0;0,0,0,0,1,0,0
1658315661574;sample_solution;28;m;1;1;6;6;2;1;1021;1;1021;1658315669362;New Hires by Month (Full-Time/Part-Time) (lineChart) - FPDesc: Part-Time selected;NewHiresByMonth(Full-Time/Part-Time).FPDesc<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByRegion.Region<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,1,0;31,86,24,89,18,71,51,77,55,70,33,103,37,78,39,70,37,115,24,114,22,110,11,38;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;117,113,89,128,125,136,115,109,152,138,132,49;88,72,77,110,112,86,127,104,102,151,119,76;0,0,0,0,0,0,0,0,0,0,0,0,0,0;858,347,66,62,61,7,2;0,1,0,1,0,1,0,0,0,1,0,1,0,1;1403;0,0,0,1,0,0,0;0,0,0,0,0,0,0;0,0,0,0,1,0,0
1658315673542;sample_solution;28;m;1;1;6;6;5;3;22;1;22;1658315696978;Root;Year.Year<categorical>;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1658315677616;sample_solution;28;m;1;1;6;6;5;3;22;1;22;1658315696978;Ethnicity (slicer) - Ethnicity: Group B selected;Ethnicity.Ethnicity<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;3,50,2,68,8,149,9,180,7,196,12,226,8,241,12,245,6,214,13,398,6,263,8,92;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;53,70,157,189,203,238,249,257,220,411,269,100;17,37,43,48,80,90,96,132,160,176,208,75;0,1,0,0,0,1,0,1,0,1,0,1,0,1;2416;0,0,0,0,0,0,0,0,0,0,0,0,0,0;229,193,503,246,370,565,310;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,1,0,0,0
1658315679093;sample_solution;28;m;1;1;6;6;5;3;22;1;22;1658315696978;Region (slicer) - Region: East selected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,15,1,11,8,3,26,2,18,3,19,1,24,4,16,4,17,2,25,3,29,3,10;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;17,12,8,29,20,22,25,20,21,27,32,13;4,4,3,2,1,8,9,6,11,13,14,8;0,1,0,0,0,1,0,1,0,1,0,1,0,1;246;0,1,0,1,0,1,0,0,0,1,0,1,0,1;246;0,0,0,1,0,0,0;0,1,0,0,0,0,0;0,0,0,1,0,0,0
1658315681308;sample_solution;28;m;1;1;6;6;5;3;22;1;22;1658315696978;Year (slicer) - Year: 2012 selected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,2,4,2,1,2,1,1,7,1,8,3,3,3,8,13,14,8;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;4,4,3,2,1,8,9,6,11,13,14,8;1,1,4,1,3,5,2,4,7;0,1,0,0,0,1,0,1,0,1,0,1,0,1;83;0,1,0,1,0,1,0,0,0,1,0,1,0,1;83;0,0,0,1,0,0,0;0,1,0,0,0,0,0;0,0,1,0,0,0,0
1658315688729;sample_solution;28;m;1;1;6;6;5;3;22;1;22;1658315696978;New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb, Mar, Apr, May, Jun, Jan, Mar, Jun selected;NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1;0,0,0,0;2,2,4,2,1,2,1,1,7;1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0;4,4,3,2,1,8,9,6,11,13,14,8;1,1,4,1,3,5,2,4,7;0,1,0,0,0,1,0,1,0,1,0,1,0,1;83;0,1,0,1,0,1,0,0,0,1,0,1,0,1;83;0,0,0,1,0,0,0;0,1,0,0,0,0,0;0,0,1,0,0,0,0
1658315699953;sample_solution;28;m;1;1;6;6;6;3;768;1;768;1658315730205;Root;Year.Year<categorical>;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1658315715681;sample_solution;28;m;1;1;6;6;6;3;768;1;768;1658315730205;Region (slicer) - Region: South selected;Region.Region<categorical>, Year.Year<categorical>;NewHiresByRegion.Region<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;5,51,5,70,5,104,9,132,6,166,2,194,8,214,8,223,5,171,11,313,8,226,3,86;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;56,75,109,141,172,196,222,231,176,324,234,89;35,58,77,55,83,88,76,153,225,142,132,66;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1257,565,81,75,36,8,3;0,1,0,1,0,1,0,1,0,1,0,0,0,1;2025;0,0,0,0,0,1,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1658315719803;sample_solution;28;m;1;1;6;6;6;3;768;1;768;1658315730205;New Hires by Ethnicity (clusteredBarChart) - Ethnicity: Group B, Group C, Group F, Group D, Group E, Group G selected;NewHiresByEthnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByRegion.Region<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1,22,27,2,34,4,48,2,49,1,67,1,78,1,74,2,64,5,139,3,112,1,31;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;56,75,109,141,172,196,222,231,176,324,234,89;35,58,77,55,83,88,76,153,225,142,132,66;0,0,1,0,1,0,1,0,1,0,1,0,1,0;1257,565,81,75,36,8,3;0,1,0,1,0,1,0,1,0,1,0,0,0,1;2025;0,0,0,0,0,1,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1658315732982;sample_solution;28;m;1;1;6;6;4;2;01.07.14;1;01.07.14;1658315808279;Root;Year.Year<categorical>;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
